"STATION","NAME","DATE","TMAX","TMIN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-01","47","30"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-02","43","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-03","45","33"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-04","38","30"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-05","32","30"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-06","35","21"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-07","42","29"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-08","43","35"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-09","40","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-10","38","26"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-11","52","36"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-12","52","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-13","37","30"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-14","46","36"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-15","55","39"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-16","57","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-17","45","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-18","46","42"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-19","48","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-20","49","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-21","48","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-22","47","35"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-23","47","27"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-24","34","20"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-25","46","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-26","45","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-27","39","30"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-28","44","33"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-29","40","24"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-30","34","21"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-01-31","30","22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-02-01","30","18"
